INFO  - 2014-11-30 02:38:18.336; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-11-30 02:38:18.336; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.336; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2014-11-30 02:38:18.337; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/dist/solr-velocity-4.10.2.jar' to classloader
INFO  - 2014-11-30 02:38:18.465; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-11-30 02:38:18.481; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.2
INFO  - 2014-11-30 02:38:18.609; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-11-30 02:38:18.615; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/conf/schema.xml
INFO  - 2014-11-30 02:38:18.695; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-11-30 02:38:19.240; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-11-30 02:38:19.250; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-11-30 02:38:19.251; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-11-30 02:38:19.307; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-30 02:38:19.314; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-11-30 02:38:19.397; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/
INFO  - 2014-11-30 02:38:19.419; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-11-30 02:38:19.424; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/, dataDir=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/
INFO  - 2014-11-30 02:38:19.426; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-11-30 02:38:19.429; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-11-30 02:38:19.430; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-11-30 02:38:19.440; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data
INFO  - 2014-11-30 02:38:19.441; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/index/
WARN  - 2014-11-30 02:38:19.441; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-11-30 02:38:19.447; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/index
INFO  - 2014-11-30 02:38:19.487; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/homeski/Documents/michiko-web-search/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-11-30 02:38:19.488; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-11-30 02:38:19.490; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-11-30 02:38:19.491; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-11-30 02:38:19.491; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-11-30 02:38:19.493; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-11-30 02:38:19.493; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-11-30 02:38:19.559; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-11-30 02:38:19.564; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-30 02:38:19.564; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-30 02:38:19.564; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-30 02:38:19.564; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-30 02:38:19.568; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.568; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.569; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-11-30 02:38:19.570; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2014-11-30 02:38:19.570; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-11-30 02:38:19.571; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-30 02:38:19.571; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-11-30 02:38:19.571; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-30 02:38:19.571; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
